atoms,sample_len,interaction_time,atom_distance,geometry,encoding,waveform,nbr_atoms,edge_size,QFIMrank
9,4,1000,4,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,1000,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,1000,4,grid_lattice,both,Constant,NaN,Nan,4
9,4,1000,5,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,1000,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,1000,5,grid_lattice,both,Constant,NaN,Nan,4
9,4,1000,10,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,1000,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,1000,10,grid_lattice,both,Constant,NaN,Nan,4
9,4,1000,15,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,1000,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,1000,15,grid_lattice,both,Constant,NaN,Nan,4
9,5,16,4,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,16,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,16,4,grid_lattice,both,Constant,NaN,Nan,5
9,5,16,5,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,16,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,16,5,grid_lattice,both,Constant,NaN,Nan,5
9,5,16,10,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,16,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,16,10,grid_lattice,both,Constant,NaN,Nan,5
9,5,16,15,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,16,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,16,15,grid_lattice,both,Constant,NaN,Nan,5
9,5,20,4,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,20,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,20,4,grid_lattice,both,Constant,NaN,Nan,5
9,5,20,5,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,20,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,20,5,grid_lattice,both,Constant,NaN,Nan,5
9,5,20,10,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,20,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,20,10,grid_lattice,both,Constant,NaN,Nan,5
9,5,20,15,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,20,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,20,15,grid_lattice,both,Constant,NaN,Nan,5
9,5,30,4,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,30,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,30,4,grid_lattice,both,Constant,NaN,Nan,5
9,5,30,5,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,30,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,30,5,grid_lattice,both,Constant,NaN,Nan,5
9,5,30,10,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,30,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,30,10,grid_lattice,both,Constant,NaN,Nan,5
9,5,30,15,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,30,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,30,15,grid_lattice,both,Constant,NaN,Nan,5
9,5,100,4,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,100,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,100,4,grid_lattice,both,Constant,NaN,Nan,5
9,5,100,5,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,100,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,100,5,grid_lattice,both,Constant,NaN,Nan,5
9,5,100,10,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,100,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,100,10,grid_lattice,both,Constant,NaN,Nan,5
9,5,100,15,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,100,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,100,15,grid_lattice,both,Constant,NaN,Nan,5
9,5,1000,4,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,1000,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,1000,4,grid_lattice,both,Constant,NaN,Nan,5
9,5,1000,5,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,1000,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,1000,5,grid_lattice,both,Constant,NaN,Nan,5
9,5,1000,10,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,1000,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,1000,10,grid_lattice,both,Constant,NaN,Nan,5
9,5,1000,15,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,1000,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,1000,15,grid_lattice,both,Constant,NaN,Nan,5
9,6,16,4,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,16,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,16,4,grid_lattice,both,Constant,NaN,Nan,6
9,6,16,5,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,16,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,16,5,grid_lattice,both,Constant,NaN,Nan,6
9,6,16,10,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,16,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,16,10,grid_lattice,both,Constant,NaN,Nan,6
9,6,16,15,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,16,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,16,15,grid_lattice,both,Constant,NaN,Nan,6
9,6,20,4,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,20,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,20,4,grid_lattice,both,Constant,NaN,Nan,6
9,6,20,5,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,20,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,20,5,grid_lattice,both,Constant,NaN,Nan,6
9,6,20,10,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,20,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,20,10,grid_lattice,both,Constant,NaN,Nan,6
9,6,20,15,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,20,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,20,15,grid_lattice,both,Constant,NaN,Nan,6
9,6,30,4,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,30,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,30,4,grid_lattice,both,Constant,NaN,Nan,6
9,6,30,5,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,30,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,30,5,grid_lattice,both,Constant,NaN,Nan,6
9,6,30,10,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,30,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,30,10,grid_lattice,both,Constant,NaN,Nan,6
9,6,30,15,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,30,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,30,15,grid_lattice,both,Constant,NaN,Nan,6
9,6,100,4,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,100,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,100,4,grid_lattice,both,Constant,NaN,Nan,6
9,6,100,5,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,100,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,100,5,grid_lattice,both,Constant,NaN,Nan,6
9,6,100,10,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,100,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,100,10,grid_lattice,both,Constant,NaN,Nan,6
9,6,100,15,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,100,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,100,15,grid_lattice,both,Constant,NaN,Nan,6
9,6,1000,4,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,1000,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,1000,4,grid_lattice,both,Constant,NaN,Nan,6
9,6,1000,5,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,1000,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,1000,5,grid_lattice,both,Constant,NaN,Nan,6
9,6,1000,10,grid_lattice,amplitude,Constant,NaN,Nan,6
