input_data,train_len,test_len,inp_duration,N_samples,sample_len,reset_rate,nb_atoms,geometry,atom_distance,train_mae,test_mae
sine,250,30,100,1024,3,0,4,grid_lattice_centred,11,0.033084555109607484,0.0308289304869138
sine,250,30,100,1024,3,0,4,grid_lattice_centred,12,0.03293832534672437,0.030819969725278205
sine,250,30,100,1024,3,0,4,grid_lattice_centred,13,0.032924821684852244,0.030821515522180067
sine,250,30,100,1024,3,0,4,grid_lattice_centred,14,0.03305021008876806,0.030711627581616593
sine,250,30,100,1024,3,0,4,grid_lattice_centred,16,0.03305021008876806,0.030711627581616593
sine,250,30,100,1024,3,0,4,grid_lattice_centred,17,0.03305021008876806,0.030711627581616593
sine,250,30,100,1024,3,0,4,grid_lattice_centred,20,0.03305021008876806,0.030711627581616593
sine,250,30,100,1024,4,0,4,grid_lattice_centred,11,0.05098970743439724,0.05611081025747382
sine,250,30,100,1024,4,0,4,grid_lattice_centred,12,0.05094418207129827,0.056017686784725504
sine,250,30,100,1024,4,0,4,grid_lattice_centred,13,0.05040445185661464,0.05607568226618766
sine,250,30,100,1024,4,0,4,grid_lattice_centred,14,0.049537804316286085,0.055307936997354624
sine,250,30,100,1024,4,0,4,grid_lattice_centred,16,0.049813311768545025,0.05568376300304861
sine,250,30,100,1024,4,0,4,grid_lattice_centred,17,0.049813311768545025,0.05568376300304861
sine,250,30,100,1024,4,0,4,grid_lattice_centred,20,0.049813311768545025,0.05568376300304861
sine,250,30,100,1024,5,0,4,grid_lattice_centred,11,0.05247964888188684,0.048331964826639345
sine,250,30,100,1024,5,0,4,grid_lattice_centred,12,0.049079490139868946,0.04661195134378137
sine,250,30,100,1024,5,0,4,grid_lattice_centred,13,0.05072203593740159,0.047370197602493204
sine,250,30,100,1024,5,0,4,grid_lattice_centred,14,0.04990322565023746,0.04781707651408377
sine,250,30,100,1024,5,0,4,grid_lattice_centred,16,0.05167372176536724,0.04756261944107201
sine,250,30,100,1024,5,0,4,grid_lattice_centred,17,0.051643502977196686,0.04749511101869511
sine,250,30,100,1024,5,0,4,grid_lattice_centred,20,0.05165701267632024,0.04752907193544827
sine,250,30,100,1024,6,0,4,grid_lattice_centred,11,0.05569920527405925,0.04567985193981375
sine,250,30,100,1024,6,0,4,grid_lattice_centred,12,0.05482898870939975,0.048776056265016195
sine,250,30,100,1024,6,0,4,grid_lattice_centred,13,0.05327116174354006,0.047980267165771605
sine,250,30,100,1024,6,0,4,grid_lattice_centred,14,0.05377197887822216,0.04765611118356374
sine,250,30,100,1024,6,0,4,grid_lattice_centred,16,0.054186283304047254,0.049551600916988764
sine,250,30,100,1024,6,0,4,grid_lattice_centred,17,0.054260571956857885,0.0496170182161654
sine,250,30,100,1024,6,0,4,grid_lattice_centred,20,0.05430304126187426,0.04939683961212656
