input_data,train_len,test_len,neuron_number,sample_len,train_mae,test_mae
mackey,300,30,40,8,0.014562023139665793,0.030967785090187223
mackey,300,30,50,8,0.011498306740228307,0.020681561665417885
mackey,300,30,60,8,0.011738228027663423,0.03760075159111198
mackey,300,30,70,8,0.01323177857552175,0.02490677497479853
mackey,300,30,80,8,0.012391530969196332,0.04667024818022845
mackey,300,30,90,8,0.013064240956501532,0.049664154730701356
mackey,300,30,100,8,0.012470193894885635,0.04659545264665236
mackey,350,30,4,8,0.20144263891925884,0.2088795470077183
mackey,350,30,5,8,0.20144263891925884,0.2088795470077183
mackey,350,30,6,8,0.0402052068744502,0.03442395820251124
mackey,350,30,7,8,0.03938468585471652,0.03427904883350241
mackey,350,30,8,8,0.040405512154048764,0.03461442465699154
mackey,350,30,9,8,0.054306001015362884,0.05548410406470938
mackey,350,30,10,8,0.040204097806546484,0.034422918221031905
mackey,350,30,11,8,0.015359034790500535,0.019267705019575147
mackey,350,30,12,8,0.028509819436688844,0.030006315003076357
mackey,350,30,13,8,0.03525522692955591,0.031041645063036326
mackey,350,30,14,8,0.04022936283875587,0.03448854722197346
mackey,350,30,15,8,0.009154354964544836,0.018015660939568974
mackey,350,30,16,8,0.013153539906716276,0.024629420090073136
mackey,350,30,17,8,0.006825605753648243,0.018605267188316794
mackey,350,30,18,8,0.004287040341465581,0.028351606662076295
mackey,350,30,19,8,0.013128032287697482,0.022677120162136147
mackey,350,30,20,8,0.013022365702671618,0.02409471255552175
mackey,350,30,25,8,0.005501051520729406,0.02483114193891996
mackey,350,30,30,8,0.007784076902809986,0.05062585945612699
mackey,350,30,35,8,0.007107116817015739,0.046663022756099765
mackey,350,30,40,8,0.008488432195389563,0.05284632566827494
mackey,350,30,50,8,0.005994120725388204,0.03252601205392211
mackey,350,30,60,8,0.005633809768954877,0.05203167911142869
mackey,350,30,70,8,0.007807885630113778,0.04140638835819726
mackey,350,30,80,8,0.0057800816779434916,0.06121696438984986
mackey,350,30,90,8,0.005961816801341893,0.06366669257561496
mackey,350,30,100,8,0.005948403617890951,0.06007201981249214
mackey,400,30,4,8,0.1998938755184415,0.18498121596990144
mackey,400,30,5,8,0.1998938755184415,0.18498121596990144
mackey,400,30,6,8,0.03974628640095389,0.03868414461603495
mackey,400,30,7,8,0.03871657715854069,0.038317160404187846
mackey,400,30,8,8,0.03993823460022942,0.038897141836553385
